client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
0edd0d282f36643d6a7d3859e883d24365f659a14f6124155d97bbbb8e18e20c13960dc3dbad3b034b77cbd22dfc2ef9b4939b609294fb77a0cf93cbe1e3dd9a	common_voice_nl_35287713.mp3	Als transportduur een kwaliteitscriterium wordt, volgt de praktijk vanzelf.	2	0				nl	
59b0f476784525164379574b2f52043094447ef729e6da3029caafc60693e347b9fce8928cc73e4fe73132996699655ca08010184baa68fb57bc327c5bc40877	common_voice_nl_35249649.mp3	Mijn tweede opmerking heeft betrekking op de doeltreffendheid.	2	1				nl	
7b2027a403ee80ccfacc65f783087c338c1930f82727b41a0e9dfc43642665693338ea56a392b185714c7ca042c7463d22e4183782718b18feb57a1ddb7f2e33	common_voice_nl_35273929.mp3	De verwijzingen zijn absoluut verschillend en dienen zeker afzonderlijk behandeld te worden.	2	0				nl	
7d776339e899008f0b77a044bb0845ca235c91acb4be7549f92c49b74ab7d4a999df00a781498bac86f190055a788eefaaa661ebf911f6f310aef947fff4f98c	common_voice_nl_35304931.mp3	Laten we dus waakzaam zijn.	2	0	fourties	male		nl	
d249115b99c54cc3439d6e1ed3d0cd596747206735e510cfbf0518b99a4a4071242629a9437cd1b3c13c9b9d71629a9e994cb5f93496f3977ce7b13f5c94f1c7	common_voice_nl_35339308.mp3	Daarom kunnen wij de desbetreffende amendementen niet overnemen.	2	0			Nederlands Nederlands	nl	
d4b226fa2992a31fde9a99fb4a794ca1616f889037823d0467432885e614595bdd59f006b38d6ffb3bcb4c0899eb74c288789d95f8d7819e152f31da1230ab7c	common_voice_nl_35094592.mp3	Wat betekent dan uiteindelijk een verbod tot op de markt brengen?	2	0				nl	
f6dbfc7569992f326272dab65ac8c74b8f9e6d126a6e7d8b0d4fdd8a48b705fba39d5e7ab3f130102220abfae29e0784d5f4857035d1e999a04504d85bfc0c50	common_voice_nl_35924817.mp3	Dan is mij dat in ieder geval duidelijk nu.	2	0				nl	
03836dc1340c3e8093d92f41d69b0d20254779d117d2c73fcc2be145a810425744e5499895b5c8ec962c1a17c54c80ab512f442a11c54ef27090387ca4b8fd1f	common_voice_nl_35018146.mp3	Voor alle duidelijkheid: de lidstaten moeten allemaal een verantwoordelijk financieel beleid voeren.	2	0				nl	
03836dc1340c3e8093d92f41d69b0d20254779d117d2c73fcc2be145a810425744e5499895b5c8ec962c1a17c54c80ab512f442a11c54ef27090387ca4b8fd1f	common_voice_nl_35033605.mp3	Ik vraag me af of er verder nog stappen worden ondernomen.	2	0				nl	
b02d3d84b5240f529e7af9f1540538068c434a0645ee6b9d275387da939ae57726e79e0c1c695b0f85046b8d28ff72d42b58cda3356dd3b06402539c1722b60e	common_voice_nl_36497009.mp3	Ik zal in zeven punten de fundamentele onderdelen van dit instrument noemen.	2	0	twenties	male	Belgisch Nederlands	nl	
b02d3d84b5240f529e7af9f1540538068c434a0645ee6b9d275387da939ae57726e79e0c1c695b0f85046b8d28ff72d42b58cda3356dd3b06402539c1722b60e	common_voice_nl_36497017.mp3	Dat is essentieel, hoe complex ook.	2	0	twenties	male	Belgisch Nederlands	nl	
3b2f7d16cc5f798f2d643b8de4a2e45bd9658f4368fdbbefd8742041ffa168816269d56eb32b5e9bfdf197945e59e22633e1de1590057b5ec2018322c26d1a82	common_voice_nl_35271725.mp3	De rapporteur wil op een wat slimmere manier het onverenigbare verenigen.	4	0	fourties	female	Belgisch Nederlands	nl	
3b2f7d16cc5f798f2d643b8de4a2e45bd9658f4368fdbbefd8742041ffa168816269d56eb32b5e9bfdf197945e59e22633e1de1590057b5ec2018322c26d1a82	common_voice_nl_35271728.mp3	De volgende keer gaat het geld ongetwijfeld naar sneeuwruimen.	4	0	fourties	female	Belgisch Nederlands	nl	
3b2f7d16cc5f798f2d643b8de4a2e45bd9658f4368fdbbefd8742041ffa168816269d56eb32b5e9bfdf197945e59e22633e1de1590057b5ec2018322c26d1a82	common_voice_nl_35271729.mp3	Dan kunnen we het wel vergeten.	2	0	fourties	female	Belgisch Nederlands	nl	
f82c457d8e3e1b9533fed2ebd303e6d98cdd326af7f2ae23de1fa55d64dfa817a808094de4eeb60f1b24447f7d5d42d0ae09ab988831a513c8c1272b13061d0f	common_voice_nl_35213995.mp3	Turkije is daartoe in staat.	2	0	twenties	male	Belgisch Nederlands	nl	
f82c457d8e3e1b9533fed2ebd303e6d98cdd326af7f2ae23de1fa55d64dfa817a808094de4eeb60f1b24447f7d5d42d0ae09ab988831a513c8c1272b13061d0f	common_voice_nl_35213999.mp3	Ik vind dat dit duidelijk in het programma naar voren komt.	4	0	twenties	male	Belgisch Nederlands	nl	
f82c457d8e3e1b9533fed2ebd303e6d98cdd326af7f2ae23de1fa55d64dfa817a808094de4eeb60f1b24447f7d5d42d0ae09ab988831a513c8c1272b13061d0f	common_voice_nl_35214000.mp3	Er zijn tal van problemen.	2	0	twenties	male	Belgisch Nederlands	nl	
f82c457d8e3e1b9533fed2ebd303e6d98cdd326af7f2ae23de1fa55d64dfa817a808094de4eeb60f1b24447f7d5d42d0ae09ab988831a513c8c1272b13061d0f	common_voice_nl_35214001.mp3	Ze moeten onder de toepassing van deze richtlijn vallen.	4	0	twenties	male	Belgisch Nederlands	nl	
f82c457d8e3e1b9533fed2ebd303e6d98cdd326af7f2ae23de1fa55d64dfa817a808094de4eeb60f1b24447f7d5d42d0ae09ab988831a513c8c1272b13061d0f	common_voice_nl_35214003.mp3	Wordt de verspreiding van wetenschap en kennis zo wel gestimuleerd?	2	0	twenties	male	Belgisch Nederlands	nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952292.mp3	Ik denk dat alle lidstaten daar nu van doordrongen zijn.	2	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952342.mp3	Het tot nu toe gevoerde beleid is niet bepaald een succes geweest.	2	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_35042954.mp3	In het krijt staan.	2	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_35043211.mp3	Ze dreigen op ons te schieten.	2	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_35043214.mp3	Dus werd de vertaling overgedaan, maar de tijdslimiet werd niet verschoven.	2	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_35043258.mp3	Maar daar kom ik later op terug.	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008599.mp3	Het verslag gaat niet alleen over bussen.	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008615.mp3	Waar draait het in dit geval eigenlijk om?	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008618.mp3	Er bestaat tenslotte ook een biljet van een dollar!	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008619.mp3	Nu is het moment om die te verwezenlijken.	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008632.mp3	Uit de lucht gegrepen zijn.	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008634.mp3	Leisteen vormt een tamelijk gladde dakbedekking, waarlangs iets snel naar beneden kan glijden.	2	0				nl	
4499f620a9a549952f75ae53020ae28b9f9ef1805c4ef4aa1b07ba47d6f799bd65fce364823eaecf1747edc3a194eb99c459ba2695d1365b83702b8c602a3e49	common_voice_nl_35008653.mp3	Het derde punt betreft de kwestie van de unanimiteit.	2	0				nl	
58d3d473a78655ad546b029895c0c0628b7cd088ec69693a072873bccd87b36b2c1494ef49850abbe285181f1ffdcab6f50ad4e7288b38f9db316328a690b332	common_voice_nl_35219417.mp3	Dat is op zichzelf wel problematisch maar niet verwonderlijk.	2	0			Nederlands Nederlands	nl	
58d3d473a78655ad546b029895c0c0628b7cd088ec69693a072873bccd87b36b2c1494ef49850abbe285181f1ffdcab6f50ad4e7288b38f9db316328a690b332	common_voice_nl_35219441.mp3	De stroopwafel is een van oorsprong Nederlandse wafel.	2	0	twenties	other	Nederlands Nederlands	nl	
